a	0,06510	0,08167	0,07636	0,12530	0,12120	0,11740	0,09300
b	0,01890	0,01492	0,00901	0,01420	0,00980	0,00920	0,01300
c	0,03060	0,02782	0,03260	0,04680	0,00780	0,04500	0,01300
d	0,05080	0,04253	0,03669	0,05860	0,03040	0,03730	0,04500
e	0,17400	0,12702	0,14715	0,13680	0,08990	0,11790	0,09900
f	0,01660	0,02228	0,01066	0,00690	0,01030	0,00950	0,02000
g	0,03010	0,02015	0,00866	0,01010	0,01170	0,01640	0,03300
h	0,04760	0,06094	0,00737	0,00700	0,00380	0,01540	0,02100
i	0,07550	0,06966	0,07529	0,06250	0,10010	0,11280	0,05100
j	0,00270	0,00153	0,00545	0,00440	0,03500	0,00000	0,00700
k	0,01210	0,00772	0,00049	0,00000	0,04160	0,00000	0,03200
l	0,03440	0,04025	0,05456	0,04970	0,06140	0,06510	0,05200
m	0,02530	0,02406	0,02968	0,03150	0,02990	0,02510	0,03500
n	0,09780	0,06749	0,07095	0,06710	0,07960	0,06880	0,08800
o	0,02510	0,07507	0,05378	0,08680	0,08780	0,09830	0,04100
p	0,00790	0,01929	0,03021	0,02510	0,02740	0,03050	0,01700
q	0,00020	0,00095	0,01362	0,00880	0,00000	0,00510	0,00007
r	0,07000	0,05987	0,06553	0,06870	0,05910	0,06370	0,08300
s	0,07270	0,06327	0,07948	0,07980	0,06090	0,04980	0,06300
t	0,06150	0,09056	0,07244	0,04630	0,05270	0,05620	0,08700
u	0,04350	0,02758	0,06311	0,03930	0,03180	0,03010	0,01800
v	0,00670	0,00978	0,01628	0,00900	0,01900	0,02100	0,02400
w	0,01890	0,02360	0,00114	0,00020	0,00000	0,00000	0,00030
x	0,00030	0,00150	0,00387	0,00220	0,00000	0,00000	0,00100
y	0,00040	0,01974	0,00308	0,00900	0,00000	0,00000	0,00600
z	0,01130	0,00074	0,00136	0,00520	0,00500	0,00490	0,00020
œ	0,00000	0,00000	0,00018	0,00000	0,00000	0,00000	0,00000
ß	0,00310	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000
à	0,00000	0,00000	0,00486	0,00000	0,00000	0,00000	0,00000
ç	0,00000	0,00000	0,00085	0,00000	0,00000	0,00000	0,00000
ĉ	0,00000	0,00000	0,00000	0,00000	0,00660	0,00000	0,00000
è	0,00000	0,00000	0,00271	0,00000	0,00000	0,00000	0,00000
é	0,00000	0,00000	0,01904	0,00000	0,00000	0,00000	0,00000
ê	0,00000	0,00000	0,00225	0,00000	0,00000	0,00000	0,00000
ë	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000
ĝ	0,00000	0,00000	0,00000	0,00000	0,00690	0,00000	0,00000
ĥ	0,00000	0,00000	0,00000	0,00000	0,00020	0,00000	0,00000
î	0,00000	0,00000	0,00045	0,00000	0,00000	0,00000	0,00000
ì	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000
ï	0,00000	0,00010	0,00005	0,00000	0,00000	0,00000	0,00000
ĵ	0,00000	0,00000	0,00000	0,00000	0,00120	0,00000	0,00000
ò	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000	0,00000
ŝ	0,00000	0,00000	0,00000	0,00000	0,00380	0,00000	0,00000
ù	0,00000	0,00000	0,00058	0,00000	0,00000	0,00000	0,00000
ŭ	0,00000	0,00000	0,00000	0,00000	0,00520	0,00000	0,00000
